id_hex wheel_hex sector pfeb tds_channel pad_channel x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 wheel id layer quad
0x7f6801d800000000 0xA 4 0 35 68 118.812 1321.43 7452.53 3.05816 1321.41 7452.49 125.921 1402.85 7452.67 3.04408 1402.83 7452.62 10 9180589867619319808 0 0
0x7f68026800000000 0xA 4 0 36 67 236.351 1321.45 7452.58 118.812 1321.43 7452.53 250.694 1402.88 7452.71 125.921 1402.85 7452.67 10 9180590486094610432 0 0
0x7f6802f800000000 0xA 4 0 37 66 334.029 1321.47 7452.61 236.351 1321.45 7452.58 354.315 1402.89 7452.75 250.694 1402.88 7452.71 10 9180591104569901056 0 0
0x7f68003000000000 0xA 4 0 38 65 -244.605 1402.79 7452.53 -352.227 1402.77 7452.49 -258.976 1484.21 7452.66 -372.541 1484.19 7452.61 10 9180588046553186304 0 0
0x7f6800c000000000 0xA 4 0 39 64 -119.833 1402.81 7452.58 -244.605 1402.79 7452.53 -126.97 1484.23 7452.71 -258.976 1484.21 7452.66 10 9180588665028476928 0 0
0x7f68015000000000 0xA 4 0 40 63 3.04408 1402.83 7452.62 -119.833 1402.81 7452.58 3.02999 1484.25 7452.75 -126.97 1484.23 7452.71 10 9180589283503767552 0 0
0x7f6801e000000000 0xA 4 0 41 62 125.921 1402.85 7452.67 3.04408 1402.83 7452.62 133.03 1484.28 7452.8 3.02999 1484.25 7452.75 10 9180589901979058176 0 0
0x7f68027000000000 0xA 4 0 42 61 250.694 1402.88 7452.71 125.921 1402.85 7452.67 265.036 1484.3 7452.85 133.03 1484.28 7452.8 10 9180590520454348800 0 0
0x7f68030000000000 0xA 4 0 43 60 354.315 1402.89 7452.75 250.694 1402.88 7452.71 374.601 1484.32 7452.89 265.036 1484.3 7452.85 10 9180591138929639424 0 0
0x7f68003800000000 0xA 4 0 44 59 -258.976 1484.21 7452.66 -372.541 1484.19 7452.61 -273.347 1565.63 7452.78 -392.855 1565.6 7452.74 10 9180588080912924672 0 0
0x7f6800c800000000 0xA 4 0 45 58 -126.97 1484.23 7452.71 -258.976 1484.21 7452.66 -134.108 1565.65 7452.83 -273.347 1565.63 7452.78 10 9180588699388215296 0 0
0x7f68015800000000 0xA 4 0 46 57 3.02999 1484.25 7452.75 -126.97 1484.23 7452.71 3.01591 1565.67 7452.89 -134.108 1565.65 7452.83 10 9180589317863505920 0 0
0x7f6801e800000000 0xA 4 0 47 56 133.03 1484.28 7452.8 3.02999 1484.25 7452.75 140.14 1565.7 7452.94 3.01591 1565.67 7452.89 10 9180589936338796544 0 0
0x7f68027800000000 0xA 4 0 48 55 265.036 1484.3 7452.85 133.03 1484.28 7452.8 279.378 1565.72 7452.99 140.14 1565.7 7452.94 10 9180590554814087168 0 0
0x7f68030800000000 0xA 4 0 49 54 374.601 1484.32 7452.89 265.036 1484.3 7452.85 394.887 1565.74 7453.03 279.378 1565.72 7452.99 10 9180591173289377792 0 0
0x7f68004000000000 0xA 4 0 50 53 -273.347 1565.63 7452.78 -392.855 1565.6 7452.74 -287.717 1647.04 7452.91 -413.169 1647.02 7452.86 10 9180588115272663040 0 0
0x7f6800d000000000 0xA 4 0 51 52 -134.108 1565.65 7452.83 -273.347 1565.63 7452.78 -141.245 1647.07 7452.96 -287.717 1647.04 7452.91 10 9180588733747953664 0 0
0x7f68016000000000 0xA 4 0 52 51 3.01591 1565.67 7452.89 -134.108 1565.65 7452.83 3.00182 1647.09 7453.02 -141.245 1647.07 7452.96 10 9180589352223244288 0 0
0x7f6801f000000000 0xA 4 0 53 50 140.14 1565.7 7452.94 3.01591 1565.67 7452.89 147.249 1647.12 7453.07 3.00182 1647.09 7453.02 10 9180589970698534912 0 0
0x7f68028000000000 0xA 4 0 54 49 279.378 1565.72 7452.99 140.14 1565.7 7452.94 293.721 1647.14 7453.13 147.249 1647.12 7453.07 10 9180590589173825536 0 0
0x7f68031000000000 0xA 4 0 55 48 394.887 1565.74 7453.03 279.378 1565.72 7452.99 415.173 1647.16 7453.17 293.721 1647.14 7453.13 10 9180591207649116160 0 0
0x7f68004800000000 0xA 4 0 56 47 -287.717 1647.04 7452.91 -413.169 1647.02 7452.86 -302.088 1728.46 7453.04 -433.484 1728.44 7452.99 10 9180588149632401408 0 0
0x7f6800d800000000 0xA 4 0 57 46 -141.245 1647.07 7452.96 -287.717 1647.04 7452.91 -148.383 1728.49 7453.09 -302.088 1728.46 7453.04 10 9180588768107692032 0 0
0x7f68016800000000 0xA 4 0 58 45 3.00182 1647.09 7453.02 -141.245 1647.07 7452.96 2.98774 1728.51 7453.15 -148.383 1728.49 7453.09 10 9180589386582982656 0 0
0x7f6801f800000000 0xA 4 0 59 44 147.249 1647.12 7453.07 3.00182 1647.09 7453.02 154.358 1728.54 7453.21 2.98774 1728.51 7453.15 10 9180590005058273280 0 0
0x7f68028800000000 0xA 4 0 60 43 293.721 1647.14 7453.13 147.249 1647.12 7453.07 308.063 1728.57 7453.26 154.358 1728.54 7453.21 10 9180590623533563904 0 0
0x7f68031800000000 0xA 4 0 61 42 415.173 1647.16 7453.17 293.721 1647.14 7453.13 435.459 1728.59 7453.31 308.063 1728.57 7453.26 10 9180591242008854528 0 0
0x7f68005000000000 0xA 4 0 62 41 -302.088 1728.46 7453.04 -433.484 1728.44 7452.99 -316.459 1809.88 7453.16 -453.798 1809.85 7453.11 10 9180588183992139776 0 0
0x7f6800e000000000 0xA 4 0 63 40 -148.383 1728.49 7453.09 -302.088 1728.46 7453.04 -155.52 1809.91 7453.22 -316.459 1809.88 7453.16 10 9180588802467430400 0 0
0x7f68017000000000 0xA 4 0 64 39 2.98774 1728.51 7453.15 -148.383 1728.49 7453.09 2.97365 1809.93 7453.28 -155.52 1809.91 7453.22 10 9180589420942721024 0 0
0x7f68020000000000 0xA 4 0 65 38 154.358 1728.54 7453.21 2.98774 1728.51 7453.15 161.467 1809.96 7453.34 2.97365 1809.93 7453.28 10 9180590039418011648 0 0
0x7f68029000000000 0xA 4 0 66 37 308.063 1728.57 7453.26 154.358 1728.54 7453.21 322.406 1809.99 7453.4 161.467 1809.96 7453.34 10 9180590657893302272 0 0
0x7f68032000000000 0xA 4 0 67 36 435.459 1728.59 7453.31 308.063 1728.57 7453.26 455.745 1810.01 7453.45 322.406 1809.99 7453.4 10 9180591276368592896 0 0
0x7f68005800000000 0xA 4 0 68 35 -316.459 1809.88 7453.16 -453.798 1809.85 7453.11 -330.829 1891.3 7453.29 -474.112 1891.27 7453.24 10 9180588218351878144 0 0
0x7f6800e800000000 0xA 4 0 69 34 -155.52 1809.91 7453.22 -316.459 1809.88 7453.16 -162.657 1891.32 7453.35 -330.829 1891.3 7453.29 10 9180588836827168768 0 0
0x7f68017800000000 0xA 4 0 70 33 2.97365 1809.93 7453.28 -155.52 1809.91 7453.22 2.95956 1891.35 7453.41 -162.657 1891.32 7453.35 10 9180589455302459392 0 0
0x7f68020800000000 0xA 4 0 71 32 161.467 1809.96 7453.34 2.97365 1809.93 7453.28 168.576 1891.38 7453.48 2.95956 1891.35 7453.41 10 9180590073777750016 0 0
0x7f68029800000000 0xA 4 0 72 31 322.406 1809.99 7453.4 161.467 1809.96 7453.34 336.748 1891.41 7453.54 168.576 1891.38 7453.48 10 9180590692253040640 0 0
0x7f68032800000000 0xA 4 0 73 30 455.745 1810.01 7453.45 322.406 1809.99 7453.4 476.031 1891.43 7453.59 336.748 1891.41 7453.54 10 9180591310728331264 0 0
0x7f68006000000000 0xA 4 0 74 29 -330.829 1891.3 7453.29 -474.112 1891.27 7453.24 -345.2 1972.71 7453.42 -494.426 1972.69 7453.36 10 9180588252711616512 0 0
